Number-of-splits,Total-length,Segment-length,RMSE,Max-Point-Error,Model-type,Tile-ID,Lane-Group-ID,Lane-ID,Lane-Sub-Segment-ID
2.0,526.0767436673943,261.11186263468204,0.03231043476413149,0.07423315039204571,2.0,3.09137665E8,3.7420041223E10,3.0,2.0
2.0,526.2170213519603,263.9733158739997,5.48136792123583E-15,2.3159155439986413E-14,0.0,3.09137665E8,3.7420041223E10,4.0,1.0
2.0,526.2170213519603,261.24757975768136,0.03199435757117021,0.08390253619066337,2.0,3.09137665E8,3.7420041223E10,4.0,2.0
2.0,526.3730456085602,263.9779123509805,7.430631357503312E-15,2.315875919715019E-14,0.0,3.09137665E8,3.7420041223E10,5.0,1.0
2.0,526.3730456085602,261.39899019210435,0.031111239332668437,0.07925718556905255,2.0,3.09137665E8,3.7420041223E10,5.0,2.0
2.0,491.5903361208163,242.74597931574675,0.03408576503143361,0.07957997768380665,1.0,3.09137665E8,3.8207541463E10,2.0,1.0
2.0,491.5903361208163,247.901473220809,0.030299927729461808,0.06880695844720575,2.0,3.09137665E8,3.8207541463E10,2.0,2.0
2.0,491.9720979500122,242.87206234236004,0.03232288891915982,0.0871400530813844,1.0,3.09137665E8,3.8207541463E10,3.0,1.0
2.0,491.9720979500122,248.10937551507976,0.03280805502398182,0.09317856677943279,2.0,3.09137665E8,3.8207541463E10,3.0,2.0
4.0,492.36474924452637,121.63516874288494,0.02856876246124225,0.0808962724677258,1.0,3.09137665E8,3.8207541463E10,4.0,1.0
4.0,492.36474924452637,121.53167620462435,0.031107929795624954,0.09099843096009863,1.0,3.09137665E8,3.8207541463E10,4.0,2.0
4.0,492.36474924452637,121.96973450366592,0.027311749800126458,0.06879383663772387,1.0,3.09137665E8,3.8207541463E10,4.0,3.0
4.0,492.36474924452637,124.27474342526801,3.4926379671345234E-14,6.985275934269047E-14,0.0,3.09137665E8,3.8207541463E10,4.0,4.0
4.0,492.75454823342284,122.23264281326793,0.02476534524195692,0.07054890126569126,2.0,3.09137665E8,3.8207541463E10,5.0,1.0
4.0,492.75454823342284,121.27597249525934,0.019244121640523908,0.04206816496707688,1.0,3.09137665E8,3.8207541463E10,5.0,2.0
4.0,492.75454823342284,122.020962940847,0.024406483680485317,0.05933720865778014,1.0,3.09137665E8,3.8207541463E10,5.0,3.0
4.0,492.75454823342284,124.29791926553264,2.4392035350931224E-14,6.954524865322178E-14,0.0,3.09137665E8,3.8207541463E10,5.0,4.0
1.0,495.1419056808478,495.1419056808478,0.003023768560119835,0.009699415741470707,0.0,3.09137665E8,3.8277542831E10,2.0,1.0
1.0,495.1356906090675,495.1356906090675,0.02645975372787533,0.08487559372381756,0.0,3.09137665E8,3.8277542831E10,3.0,1.0
1.0,495.1205466419557,495.1205466419557,0.028153753369883835,0.09030947745766106,0.0,3.09137665E8,3.8277542831E10,4.0,1.0
1.0,495.11787442522945,495.11787442522945,0.01739799129602801,0.05580795860909781,0.0,3.09137665E8,3.8277542831E10,5.0,1.0
1.0,28.478720135035378,28.478720135035378,0.038740275353232316,0.07864467877559946,2.0,3.09137666E8,1.260585034E9,1.0,1.0
1.0,26.545031257063286,26.545031257063286,0.0355078725258628,0.07172599415136834,2.0,3.09137666E8,1.260585034E9,2.0,1.0
2.0,246.04302598400147,122.92470470917041,0.0201839203722313,0.04609598232807308,2.0,3.09137666E8,2.138409192E9,1.0,1.0
2.0,246.04302598400147,122.24911448050224,0.03462521748415831,0.09313085742437714,2.0,3.09137666E8,2.138409192E9,1.0,2.0
2.0,243.65933505638625,121.90627321533435,0.02117498173463198,0.0556709211388342,2.0,3.09137666E8,2.138409192E9,2.0,1.0
2.0,243.65933505638625,120.8911931821745,0.03361426298538643,0.09420052211364328,2.0,3.09137666E8,2.138409192E9,2.0,2.0
2.0,77.17151514982298,37.61690912255939,2.966919785997559E-15,6.0075528578465074E-15,0.0,3.09137666E8,1.833433428E9,1.0,1.0
2.0,77.17151514982298,38.59006989591592,0.01661935868215411,0.042808385365447066,1.0,3.09137666E8,1.833433428E9,1.0,2.0
1.0,77.36553945726449,77.36553945726449,0.042985836877611996,0.0901059194733533,2.0,3.09137666E8,1.833433428E9,2.0,1.0
2.0,77.61054018330192,37.163815250463514,0.02845154792571678,0.07334958033629846,1.0,3.09137666E8,1.833433428E9,3.0,1.0
2.0,77.61054018330192,39.46021944667161,1.4027031092968527E-14,2.4435809645226893E-14,0.0,3.09137666E8,1.833433428E9,3.0,2.0
1.0,361.37649464679913,361.37649464679913,7.463310624177103E-15,2.3169444359305985E-14,0.0,3.09137666E8,3.741253873E10,2.0,1.0
1.0,361.3758244104335,361.3758244104335,8.511918549975293E-15,2.317253958357934E-14,0.0,3.09137666E8,3.741253873E10,3.0,1.0
1.0,361.38013339799306,361.38013339799306,2.350873223456231E-14,4.634328841999502E-14,0.0,3.09137666E8,3.741253873E10,4.0,1.0
1.0,361.3836341333678,361.3836341333678,1.6306567080515708E-14,4.634039170696976E-14,0.0,3.09137666E8,3.741253873E10,5.0,1.0
2.0,84.7978992608565,41.90462941372942,0.01224742596941964,0.03157176725426325,1.0,3.09137666E8,2.475948413E9,1.0,1.0
2.0,84.7978992608565,41.9072339335029,0.016346362757965558,0.042137648221341806,1.0,3.09137666E8,2.475948413E9,1.0,2.0
2.0,84.76819993287519,41.89054350890971,0.011943303741612047,0.030787624731374308,1.0,3.09137666E8,2.475948413E9,2.0,1.0
4.0,302.40370419472816,75.0918676568421,0.027959211179380418,0.06893289495201316,1.0,3.09134577E8,3.7462540737E10,2.0,2.0
4.0,302.40370419472816,73.77099489616712,0.012485761428970229,0.031963192694547615,1.0,3.09134577E8,3.7462540737E10,2.0,3.0
4.0,302.40370419472816,75.82289499525339,0.01912086458485876,0.049122728816200834,1.0,3.09134577E8,3.7462540737E10,2.0,4.0
3.0,302.73868995388443,100.18063496361458,0.014255286662813428,0.0342557355252211,1.0,3.09134577E8,3.7462540737E10,3.0,1.0
3.0,302.73868995388443,100.22182496098299,0.021294212323370303,0.07205752167217076,2.0,3.09134577E8,3.7462540737E10,3.0,2.0
3.0,302.73868995388443,100.36888586412907,0.025182449823382167,0.0826665661163351,2.0,3.09134577E8,3.7462540737E10,3.0,3.0
2.0,303.0603664664011,151.07212229004034,0.01590174486340221,0.04162336548845694,2.0,3.09134577E8,3.7462540737E10,4.0,1.0
2.0,303.0603664664011,151.02126743757634,0.0254754123583324,0.06527974996834018,1.0,3.09134577E8,3.7462540737E10,4.0,2.0
3.0,303.3790647267706,100.88369008407099,0.023832781927813584,0.08971248582747648,1.0,3.09134577E8,3.7462540737E10,5.0,1.0
3.0,303.3790647267706,99.81902692543322,0.016481574778647794,0.04245418641994547,1.0,3.09134577E8,3.7462540737E10,5.0,2.0
3.0,303.3790647267706,100.73602062429619,0.03495669174694357,0.09104987394448472,1.0,3.09134577E8,3.7462540737E10,5.0,3.0
4.0,303.72788906151527,75.02838242240213,0.015372808939545493,0.07280658391774826,0.0,3.09134577E8,3.7462540737E10,6.0,1.0
4.0,303.72788906151527,75.76087880320487,0.03902650503390104,0.09669584598759684,1.0,3.09134577E8,3.7462540737E10,6.0,2.0
4.0,303.72788906151527,75.43924364227068,0.028847440707127664,0.06815941331842623,1.0,3.09134577E8,3.7462540737E10,6.0,3.0
4.0,303.72788906151527,74.55873835858954,0.020580603974636315,0.052301825942322466,1.0,3.09134577E8,3.7462540737E10,6.0,4.0
1.0,9.643843752785534,9.643843752785534,0.023316604739799046,0.041252775446982644,2.0,3.09134577E8,1.893289734E9,1.0,1.0
1.0,12.358128290518954,12.358128290518954,0.02482580066917239,0.05309764620362686,2.0,3.09134577E8,1.893289734E9,2.0,1.0
3.0,61.685422186819586,19.473817026496384,0.0359540428724733,0.081639289504011,1.0,3.09134577E8,3.25952046E8,1.0,1.0
3.0,61.685422186819586,19.9888945498388,0.026231862812698858,0.059481636585417164,1.0,3.09134577E8,3.25952046E8,1.0,2.0
3.0,61.685422186819586,20.36517945415268,0.03308682829172822,0.08869011922607196,0.0,3.09134577E8,3.25952046E8,1.0,3.0
3.0,61.44084219995804,19.558363759611648,0.03546918263888407,0.08100161490094138,1.0,3.09134577E8,3.25952046E8,2.0,1.0
3.0,61.44084219995804,19.843249473026333,0.04079970128528511,0.08869327379407405,0.0,3.09134577E8,3.25952046E8,2.0,2.0
3.0,61.44084219995804,20.150499748309347,0.030627203359453795,0.08198087002784975,0.0,3.09134577E8,3.25952046E8,2.0,3.0
3.0,61.498338868624415,18.98134127193616,0.01927579835204935,0.04715621817548765,1.0,3.09134577E8,3.25952046E8,3.0,1.0
3.0,61.498338868624415,20.045012898512994,0.04518833086055581,0.08958184433909458,0.0,3.09134577E8,3.25952046E8,3.0,2.0
3.0,61.498338868624415,20.70008042679695,0.012219993774455973,0.028822800346063104,1.0,3.09134577E8,3.25952046E8,3.0,3.0
2.0,262.57297243949785,129.15535595256597,0.04254378609001886,0.08603881526596524,1.0,3.09134577E8,3.7685039553E10,2.0,1.0
2.0,262.57297243949785,132.44285721778903,0.014597234085023522,0.03698345267165687,0.0,3.09134577E8,3.7685039553E10,2.0,2.0
1.0,262.29174645022755,262.29174645022755,0.03925151842583325,0.0915303617153015,2.0,3.09134577E8,3.7685039553E10,3.0,1.0
2.0,262.01529070186143,129.8944897570601,0.017836280950046357,0.06012728213454466,1.0,3.09134577E8,3.7685039553E10,4.0,1.0
2.0,262.01529070186143,131.1276973903063,0.015534713560489527,0.031309474419098,0.0,3.09134577E8,3.7685039553E10,4.0,2.0
2.0,262.1213850419364,129.61035425602876,0.029542644850697693,0.08848913162508026,2.0,3.09134577E8,3.7685039553E10,5.0,1.0
2.0,262.1213850419364,131.5305983892623,0.03604993690379363,0.08585122677379271,0.0,3.09134577E8,3.7685039553E10,5.0,2.0
2.0,262.15742453222833,129.82107080152372,0.030852516158370397,0.07517702170616758,1.0,3.09134577E8,3.7685039553E10,6.0,1.0
2.0,262.15742453222833,131.34491093969956,0.015942920585518588,0.04622384594429245,0.0,3.09134577E8,3.7685039553E10,6.0,2.0
2.0,261.9112821373692,129.76458822902248,0.02865728940151554,0.06784321353870837,1.0,3.09134577E8,3.7685039553E10,7.0,1.0
2.0,261.9112821373692,131.18044086207104,0.01889523883962559,0.03576388782605295,0.0,3.09134577E8,3.7685039553E10,7.0,2.0
1.0,8.963828999240576,8.963828999240576,7.194592354968568E-17,2.1342609975275168E-16,0.0,3.09134577E8,3.17832462E9,1.0,1.0
1.0,8.618169045557416,8.618169045557416,2.034767654702188E-16,4.268164640444165E-16,0.0,3.09134577E8,3.17832462E9,2.0,1.0
1.0,27.99338180151973,27.99338180151973,0.013095188380838296,0.03351614925361446,1.0,3.09134577E8,2.828270246E9,1.0,1.0
1.0,28.236207900556998,28.236207900556998,0.012335879757017831,0.03157284864255416,1.0,3.09134577E8,2.828270246E9,2.0,1.0
1.0,28.497076523310746,28.497076523310746,0.012766345853332417,0.0326745688327037,1.0,3.09134577E8,2.828270246E9,3.0,1.0
1.0,569.6748735000842,569.6748735000842,0.030373741485156678,0.056032755644991994,1.0,3.09134572E8,3.8262543976E10,2.0,1.0
1.0,569.7134193898817,569.7134193898817,0.01796544240809234,0.049505821720231324,1.0,3.09134572E8,3.8262543976E10,3.0,1.0
2.0,569.7456545911721,284.64373538342176,0.031094164947908908,0.07256802669144236,1.0,3.09134572E8,3.8262543976E10,4.0,1.0
2.0,569.7456545911721,284.1179269195102,0.006659969371790623,0.021814688899743983,0.0,3.09134572E8,3.8262543976E10,4.0,2.0
